Trip_count,Weekday,Precipitation,Temp,Gust_speed
61036,0,0,82,8.9
59967,0,0,81,8.1
64130,1,0,73,13
57910,1,1,78,21
71150,1,0,79,15
67742,1,0,80,13
70127,1,0,82,14.1
62687,0,0,87,12.1
57458,0,0,91,8.9
69200,1,0,88,8.9
71518,1,0,84,8.1
69897,1,0,87,12.1
70883,1,0,79,15
67177,1,0,68,8.9
50153,0,0,66,17
55505,0,0,68,10.1
65511,1,0,73,8.1
69105,1,0,71,8.9
71454,1,0,75,14.1
70174,1,0,83,14.1
70257,1,0,82,10.1
63635,0,0,81,10.1
41044,0,1,77,12.1
38391,1,1,77,12.1
74118,1,0,81,8.9
63589,1,0,77,14.1
61248,1,0,64,18.1
67020,1,0,67,12.1
58777,0,0,72,8.1
56529,0,0,74,15
61730,1,0,69,13
64480,1,0,58,10.1
70234,1,0,72,10.1
72311,1,0,71,13
72173,1,0,73,12.1
65874,0,0,78,8.1
62150,0,0,76,8.1
69274,1,0,74,8.1
48077,1,0,74,16.1
71287,1,0,67,8.9
64003,1,0,58,13
69268,1,0,62,10.1
61348,0,0,69,12.1
9537,0,1,67,18.1
49247,1,1,61,19.9
60242,1,0,57,17
60773,1,0,59,10.1
70810,1,0,72,8.9
71818,1,0,74,15
53435,0,0,56,13
34943,0,0,61,12.1
57606,1,0,66,13
36362,1,1,49,13
54211,1,0,49,14.1
58417,1,0,55,10.1
38432,1,0,51,18.1
28142,0,0,38,13
32471,0,0,46,10.1
38753,1,0,47,12.1
52279,1,0,48,12.1
54230,1,0,51,10.1
49737,1,0,57,15
48991,1,0,47,12.1
27745,0,0,56,8.1
31598,0,1,59,19.9
45121,1,0,47,16.1
52451,1,0,58,14.1
32298,1,1,56,17
13705,1,0,43,8.9
23724,1,0,50,8.9
30518,0,0,57,8.9
27181,0,0,51,17
46733,1,0,51,14.1
51170,1,0,54,13
55295,1,0,63,15
51700,1,0,53,14.1
50708,1,0,52,12.1
38923,0,0,48,12.1
33728,0,0,48,8.9
49630,1,0,51,10.1
41792,1,1,61,14.1
46335,1,0,59,16.1
45367,1,0,44,17
41330,1,0,39,12.1
10804,0,1,35,10.1
19815,0,0,39,15
41838,1,0,41,13
42620,1,0,50,17
32623,1,0,31,21.9
27495,1,0,32,16.1
22944,1,0,28,12.1
19060,0,0,39,17
22403,0,0,38,8.9
40168,1,0,47,13
49503,1,0,55,16.1
41463,1,0,51,16.1
37592,1,0,39,10.1
34341,1,0,50,10.1
9608,0,1,48,13
13216,0,0,41,15
6479,1,1,38,23.9
14113,1,0,28,18.1
16365,1,0,24,14.1
13420,1,0,18,17
13759,1,0,22,13
5956,0,0,23,14.1
6569,0,0,21,17
5500,1,0,19,15
18818,1,0,26,16.1
24299,1,0,30,14.1
1922,1,1,29,23.9
4972,1,0,19,21
4295,0,0,13,19.9
5640,0,0,18,16.1
15821,1,0,31,15
25091,1,0,44,15
28252,1,0,43,10.1
33961,1,0,53,12.1
22254,1,1,61,14.1
17760,0,0,58,18.1
12399,0,0,25,15
17637,1,0,30,16.1
30278,1,0,36,8.1
19010,1,0,36,13
27662,1,0,32,14.1
30525,1,0,41,13
28507,0,0,52,19.9
27908,0,0,50,8.9
36865,1,0,49,14.1
28797,1,1,60,21.9
36078,1,0,44,16.1
31147,1,0,34,15
33073,1,0,38,13
34351,0,0,56,15
20101,0,1,55,13
36799,1,0,47,21
27996,1,0,36,17
31276,1,0,33,15
35561,1,0,45,13
26313,1,0,41,19.9
18385,0,0,31,16.1
13959,0,1,46,14.1
29068,1,0,40,17
34102,1,0,37,14.1
15289,1,1,45,17
31564,1,0,33,18.1
31567,1,0,39,13
16324,0,1,50,8.1
8809,0,1,62,10.1
35139,1,0,62,15
35189,1,0,38,15
39591,1,0,53,14.1
44193,1,0,62,13
29191,1,0,58,19.9
17921,0,1,40,15
21538,0,0,44,14.1
25677,1,0,49,12.1
44480,1,0,67,15
53115,1,0,78,15
27010,1,0,59,16.1
25634,1,0,42,14.1
25550,0,0,55,14.1
16150,0,1,44,16.1
42570,1,0,52,10.1
48516,1,0,56,14.1
50709,1,0,61,15
45564,1,1,60,13
6855,1,1,44,21
28364,0,0,49,25.1
25262,0,0,44,21.9
36774,1,0,43,16.1
42689,1,0,47,15
8188,1,1,39,21.9
28440,1,0,39,14.1
34912,1,0,42,17
25444,0,0,40,17
27597,0,0,45,13
36340,1,0,43,17
23137,1,1,40,16.1
35377,1,0,41,19.9
39574,1,0,48,17
34921,1,0,40,19.9
27672,0,0,48,17
25158,0,0,43,16.1
39278,1,0,47,13
35532,1,0,39,16.1
3755,1,1,39,21.9
27308,1,0,50,14.1
38528,1,0,49,14.1
34398,0,0,51,12.1
25562,0,0,45,19.9
40295,1,0,50,21
41354,1,0,47,10.1
42520,1,0,52,12.1
39293,1,0,53,8.9
34787,1,0,62,15
41794,0,0,58,16.1
33149,0,0,60,14.1
22063,1,1,43,16.1
25881,1,1,43,12.1
36753,1,0,56,21.9
39814,1,0,45,19.9
35624,1,0,62,15
33245,0,0,49,16.1
28410,0,0,46,18.1
40509,1,0,49,14.1
43051,1,0,51,12.1
48612,1,0,51,13
53168,1,0,63,15
63510,1,0,82,18.1
62597,0,0,77,21
20440,0,1,44,21.9
26289,1,1,60,28
44689,1,0,47,17
51110,1,0,55,18.1
38298,1,0,49,18.1
47052,1,0,50,19.9
63599,0,0,63,15
54284,0,0,67,13
57767,1,0,68,15
58527,1,0,66,15
31214,1,1,60,12.1
66077,1,0,70,15
39154,1,0,59,10.1
56745,0,0,68,14.1
44837,0,0,59,15
41075,1,0,51,16.1
72035,1,0,80,14.1
76773,1,0,90,16.1
69056,1,0,92,15
71199,1,0,84,18.1
63329,0,0,76,14.1
48993,0,0,66,14.1
68917,1,0,77,10.1
74313,1,0,74,8.1
78458,1,0,77,10.1
67455,1,1,66,8.9
75266,1,0,73,13
34535,0,1,63,12.1
25986,0,0,54,10.1
64729,1,0,71,8.9
52826,1,1,88,15
32766,1,1,64,8.9
49789,1,1,71,8.1
63113,1,0,67,16.1
18026,0,1,56,14.1
56949,0,0,81,13
71220,1,0,79,10.1
48508,1,1,68,8.9
72655,1,1,81,8.9
74810,1,0,83,12.1
69345,1,0,86,14.1
51597,0,0,89,14.1
25814,0,1,80,16.1
49043,1,0,69,8.9
69090,1,0,89,8.1
72321,1,0,78,8.9
55794,1,0,68,8.1
62877,1,1,81,6.9
60293,0,0,87,14.1
