Date,Precipitation,Snow.depth,Snowfall,Max.temp,Min.temp,Avg.wind.speed,Gust.speed
2000-04-11,0.16,NA,0.0,43,36,8.1,17.0
2000-04-12,0.00,0.0,0.0,50,40,9.2,21.9
2000-04-13,0.00,0.0,0.0,52,35,5.8,17.0
2000-04-14,0.00,0.0,0.0,54,39,6.0,14.1
2000-04-15,0.15,0.0,0.0,61,49,3.4,8.9
2000-04-16,0.25,0.0,0.0,75,54,4.7,17.9
2000-04-17,0.36,0.0,0.0,54,41,11.0,23.0
2000-04-18,0.03,0.0,0.0,48,39,17.9,29.1
2000-04-19,0.00,0.0,0.0,61,42,9.2,19.9
2000-04-20,0.00,0.0,0.0,64,49,6.3,14.1
2000-04-21,1.62,0.0,0.0,49,44,15.0,34.9
2000-04-22,0.05,0.0,0.0,50,44,8.5,31.1
2000-04-23,0.12,0.0,0.0,49,44,6.7,17.0
2000-04-24,0.00,0.0,0.0,69,45,8.1,17.0
2000-04-25,0.00,0.0,0.0,56,47,10.7,21.9
2000-04-26,0.03,0.0,0.0,49,39,10.3,28.0
2000-04-27,0.00,0.0,0.0,52,37,4.9,13.0
2000-04-28,0.00,0.0,0.0,59,47,4.7,10.1
2000-04-29,0.00,0.0,0.0,66,47,5.6,19.9
2000-04-30,0.00,0.0,0.0,65,51,7.6,19.9
2000-05-01,0.00,0.0,0.0,62,47,5.8,16.1
2000-05-02,0.06,0.0,0.0,68,55,6.0,17.9
2000-05-03,0.00,0.0,0.0,67,51,8.1,14.1
2000-05-04,0.00,0.0,0.0,69,52,7.6,15.0
2000-05-05,0.00,0.0,0.0,86,60,4.0,13.0
2000-05-06,0.00,0.0,0.0,89,68,3.8,13.0
2000-05-07,0.00,0.0,0.0,93,61,4.5,17.0
2000-05-08,0.00,0.0,0.0,91,70,4.7,14.1
2000-05-09,0.00,0.0,0.0,91,74,8.3,15.0
2000-05-10,0.56,0.0,0.0,78,51,8.7,19.9
2000-05-11,0.00,0.0,0.0,74,52,6.7,17.9
2000-05-12,0.07,0.0,0.0,69,57,7.2,17.9
2000-05-13,0.55,0.0,0.0,72,55,6.7,15.0
2000-05-14,0.00,0.0,0.0,73,56,7.2,15.0
2000-05-15,0.00,0.0,0.0,66,52,4.7,14.1
2000-05-16,0.00,0.0,0.0,70,51,5.1,15.0
2000-05-17,0.00,0.0,0.0,70,59,5.6,14.1
2000-05-18,1.07,0.0,0.0,81,59,6.3,23.0
2000-05-19,0.57,0.0,0.0,63,47,11.2,25.1
2000-05-20,0.52,0.0,0.0,51,46,6.7,15.0
2000-05-21,0.03,0.0,0.0,55,51,4.3,8.9
2000-05-22,0.05,0.0,0.0,57,52,5.1,14.1
2000-05-23,0.09,0.0,0.0,63,52,5.6,14.1
2000-05-24,0.81,0.0,0.0,80,55,5.6,17.9
2000-05-25,0.12,0.0,0.0,75,59,6.5,21.0
2000-05-26,0.00,0.0,0.0,76,59,6.7,16.1
2000-05-27,0.00,0.0,0.0,67,57,5.1,13.0
2000-05-28,0.00,0.0,0.0,68,56,6.0,12.1
2000-05-29,0.00,0.0,0.0,65,53,8.9,17.9
2000-05-30,0.00,0.0,0.0,63,50,8.1,17.9
2000-05-31,0.00,0.0,0.0,69,50,3.8,10.1
2000-06-01,0.00,0.0,0.0,85,59,3.4,12.1
2000-06-02,0.04,0.0,0.0,90,69,4.9,19.9
2000-06-03,0.00,0.0,0.0,74,61,7.2,17.0
2000-06-04,0.00,0.0,0.0,74,59,4.7,14.1
2000-06-05,0.00,0.0,0.0,68,60,9.4,17.0
2000-06-06,2.62,0.0,0.0,60,50,10.5,25.9
2000-06-07,0.20,0.0,0.0,73,49,6.3,14.1
2000-06-08,0.00,0.0,0.0,79,60,4.9,14.1
2000-06-09,0.00,0.0,0.0,87,67,6.9,15.0
2000-06-10,0.00,0.0,0.0,92,73,7.6,14.1
2000-06-11,0.59,0.0,0.0,92,71,7.2,17.9
2000-06-12,0.54,0.0,0.0,71,56,8.7,17.9
2000-06-13,0.08,0.0,0.0,60,55,7.6,15.0
2000-06-14,0.01,0.0,0.0,61,53,7.2,13.0
2000-06-15,0.05,0.0,0.0,75,57,3.1,10.1
2000-06-16,0.00,0.0,0.0,86,67,5.6,15.0
2000-06-17,0.00,0.0,0.0,88,72,7.4,16.1
2000-06-18,0.40,0.0,0.0,73,62,4.7,12.1
2000-06-19,0.00,0.0,0.0,72,64,4.9,15.0
2000-06-20,0.00,0.0,0.0,82,63,4.9,12.1
2000-06-21,0.16,0.0,0.0,80,68,7.2,16.1
2000-06-22,0.05,0.0,0.0,84,69,7.4,15.0
2000-06-23,0.00,0.0,0.0,81,70,6.0,13.0
2000-06-24,0.00,0.0,0.0,83,67,5.6,13.0
2000-06-25,0.00,0.0,0.0,86,72,6.7,15.0
2000-06-26,0.00,0.0,0.0,88,74,4.7,15.0
2000-06-27,0.10,0.0,0.0,86,71,6.3,17.9
2000-06-28,0.01,0.0,0.0,81,66,3.6,10.1
2000-06-29,0.02,0.0,0.0,75,65,1.6,8.9
2000-06-30,0.00,0.0,0.0,78,64,NA,16.1
2000-07-01,0.00,0.0,0.0,82,65,6.7,NA
2000-07-02,0.00,0.0,0.0,86,68,7.6,NA
2000-07-03,0.21,0.0,0.0,85,69,8.5,NA
2000-07-04,0.00,0.0,0.0,84,70,6.3,NA
2000-07-05,0.00,0.0,0.0,86,70,9.4,NA
2000-07-06,0.00,0.0,0.0,79,64,8.5,NA
2000-07-07,0.00,0.0,0.0,79,63,11.4,NA
2000-07-08,0.00,0.0,0.0,79,58,9.6,NA
2000-07-09,0.00,0.0,0.0,82,65,10.5,NA
2000-07-10,0.08,0.0,0.0,89,71,12.3,NA
2000-07-11,0.00,0.0,0.0,84,67,8.9,NA
2000-07-12,0.00,0.0,0.0,83,66,8.5,NA
2000-07-13,0.00,0.0,0.0,85,67,9.4,NA
2000-07-14,0.59,0.0,0.0,78,65,10.3,NA
2000-07-15,1.39,0.0,0.0,71,66,12.3,NA
2000-07-16,0.00,0.0,0.0,78,66,6.9,NA
2000-07-17,0.00,0.0,0.0,79,69,NA,NA
2000-07-18,0.00,0.0,0.0,87,69,NA,NA
2000-07-19,0.11,0.0,0.0,69,61,NA,NA
2000-07-20,0.00,0.0,0.0,77,63,NA,NA
2000-07-21,0.07,0.0,0.0,80,63,NA,NA
2000-07-22,0.07,0.0,0.0,80,64,NA,NA
2000-07-23,0.00,0.0,0.0,79,63,1.8,NA
2000-07-24,0.01,0.0,0.0,78,67,5.8,10.1
2000-07-25,0.00,0.0,0.0,74,65,8.5,17.9
2000-07-26,3.24,0.0,0.0,69,63,8.7,21.0
2000-07-27,1.13,0.0,0.0,68,65,9.2,16.1
2000-07-28,0.00,0.0,0.0,75,64,4.7,13.0
2000-07-29,0.01,0.0,0.0,73,66,3.6,10.1
2000-07-30,0.23,0.0,0.0,75,67,5.1,12.1
2000-07-31,0.14,0.0,0.0,75,66,10.1,19.9
2000-08-01,0.43,0.0,0.0,76,65,7.4,21.0
2000-08-02,0.00,0.0,0.0,85,71,4.5,13.0
2000-08-03,0.70,0.0,0.0,81,69,5.4,14.1
2000-08-04,0.02,0.0,0.0,80,69,4.5,8.9
2000-08-05,0.00,0.0,0.0,80,65,4.5,10.1
2000-08-06,0.01,0.0,0.0,76,67,4.9,14.1
2000-08-07,0.00,0.0,0.0,89,74,8.1,16.1
2000-08-08,0.00,0.0,0.0,88,75,4.7,13.0
2000-08-09,0.14,0.0,0.0,90,71,6.5,12.1
2000-08-10,0.00,0.0,0.0,85,74,4.0,12.1
2000-08-11,0.45,0.0,0.0,79,66,5.1,15.0
2000-08-12,0.21,0.0,0.0,71,65,9.6,21.9
2000-08-13,0.00,0.0,0.0,72,64,12.5,23.0
2000-08-14,0.23,0.0,0.0,68,64,7.6,17.0
2000-08-15,0.06,0.0,0.0,80,64,4.7,12.1
2000-08-16,0.63,0.0,0.0,83,68,7.6,16.1
2000-08-17,0.00,0.0,0.0,74,63,6.5,14.1
2000-08-18,0.31,0.0,0.0,69,61,2.9,10.1
2000-08-19,0.00,0.0,0.0,76,59,3.6,12.1
2000-08-20,0.00,0.0,0.0,72,60,5.1,13.0
2000-08-21,0.00,0.0,0.0,74,57,4.0,14.1
2000-08-22,0.00,0.0,0.0,77,60,4.0,12.1
2000-08-23,0.08,0.0,0.0,73,64,6.0,14.1
2000-08-24,0.00,0.0,0.0,80,68,2.0,8.1
2000-08-25,0.00,0.0,0.0,81,65,4.5,12.1
2000-08-26,0.00,0.0,0.0,82,65,2.9,12.1
2000-08-27,0.00,0.0,0.0,82,68,4.9,8.9
2000-08-28,0.54,0.0,0.0,75,70,5.8,15.0
2000-08-29,0.00,0.0,0.0,76,67,10.3,17.9
2000-08-30,0.01,0.0,0.0,79,65,6.0,14.1
2000-08-31,0.00,0.0,0.0,83,72,6.5,12.1
2000-09-01,0.08,0.0,0.0,83,74,3.6,10.1
2000-09-02,0.65,0.0,0.0,84,74,4.0,12.1
2000-09-03,0.74,0.0,0.0,84,73,3.8,12.1
2000-09-04,0.58,0.0,0.0,82,60,6.7,21.0
2000-09-05,0.00,0.0,0.0,67,52,9.4,25.1
2000-09-06,0.00,0.0,0.0,68,54,7.6,16.1
2000-09-07,0.00,0.0,0.0,71,54,3.6,14.1
2000-09-08,0.00,0.0,0.0,76,58,6.7,13.0
2000-09-09,0.09,0.0,0.0,84,66,3.6,14.1
2000-09-10,0.00,0.0,0.0,79,68,4.7,14.1
2000-09-11,0.00,0.0,0.0,77,67,5.8,12.1
2000-09-12,0.00,0.0,0.0,81,70,6.3,14.1
2000-09-13,0.37,0.0,0.0,79,66,5.4,14.1
2000-09-14,0.00,0.0,0.0,77,60,5.8,12.1
2000-09-15,0.91,0.0,0.0,72,59,6.5,15.0
2000-09-16,0.00,0.0,0.0,66,54,6.7,15.0
2000-09-17,0.00,0.0,0.0,69,52,7.4,15.0
2000-09-18,0.00,0.0,0.0,75,59,4.9,12.1
2000-09-19,1.90,0.0,0.0,71,63,4.3,17.9
2000-09-20,0.00,0.0,0.0,82,64,6.5,14.1
2000-09-21,0.00,0.0,0.0,74,61,8.5,17.0
2000-09-22,0.00,0.0,0.0,68,56,5.4,12.1
2000-09-23,0.09,0.0,0.0,68,60,4.0,12.1
2000-09-24,0.00,0.0,0.0,75,58,5.6,17.0
2000-09-25,0.08,0.0,0.0,63,51,8.9,16.1
2000-09-26,0.33,0.0,0.0,54,50,9.6,21.9
2000-09-27,0.00,0.0,0.0,68,47,3.4,13.0
2000-09-28,0.00,0.0,0.0,67,49,7.8,16.1
2000-09-29,0.00,0.0,0.0,59,43,4.7,14.1
2000-09-30,0.00,0.0,0.0,65,48,2.9,12.1
2000-10-01,0.00,0.0,0.0,69,53,3.4,8.9
2000-10-02,0.00,0.0,0.0,69,55,2.5,8.9
2000-10-03,0.00,0.0,0.0,79,61,4.7,13.0
2000-10-04,0.05,0.0,0.0,72,57,4.0,12.1
2000-10-05,0.08,0.0,0.0,66,56,6.5,15.0
2000-10-06,0.00,0.0,0.0,71,56,4.9,14.1
2000-10-07,0.00,0.0,0.0,61,47,6.3,13.0
2000-10-08,0.00,0.0,0.0,54,41,5.8,14.1
2000-10-09,0.00,0.0,0.0,50,38,6.3,14.1
2000-10-10,0.00,0.0,0.0,50,36,7.2,17.9
2000-10-11,0.00,0.0,0.0,66,47,7.4,16.1
2000-10-12,0.00,0.0,0.0,69,50,4.0,10.1
2000-10-13,0.00,0.0,0.0,72,53,4.5,12.1
2000-10-14,0.00,0.0,0.0,77,59,4.7,10.1
2000-10-15,0.00,0.0,0.0,76,62,4.0,14.1
2000-10-16,0.07,0.0,0.0,66,50,9.4,17.9
2000-10-17,0.01,0.0,0.0,57,50,7.8,14.1
2000-10-18,0.45,0.0,0.0,59,53,5.6,13.0
2000-10-19,0.00,0.0,0.0,64,50,6.9,17.0
2000-10-20,0.00,0.0,0.0,65,46,4.7,12.1
2000-10-21,0.00,0.0,0.0,73,53,5.6,13.0
2000-10-22,0.00,0.0,0.0,63,49,7.6,17.0
2000-10-23,0.00,0.0,0.0,59,42,6.5,16.1
2000-10-24,0.00,0.0,0.0,66,50,5.8,13.0
2000-10-25,0.00,0.0,0.0,72,54,3.6,15.0
2000-10-26,0.00,0.0,0.0,70,55,1.6,8.1
2000-10-27,0.00,0.0,0.0,66,55,2.0,6.9
2000-10-28,0.00,0.0,0.0,62,42,8.9,17.9
2000-10-29,0.01,0.0,0.0,46,36,8.9,19.9
2000-10-30,0.00,NA,0.0,50,36,7.8,17.9
2000-10-31,0.00,0.0,0.0,58,42,8.9,21.9
2000-11-01,0.00,0.0,0.0,58,41,6.9,17.9
2000-11-02,0.00,0.0,0.0,62,46,7.8,17.9
2000-11-03,0.00,0.0,0.0,64,48,3.1,8.9
2000-11-04,0.00,0.0,0.0,67,51,4.7,16.1
2000-11-05,0.00,0.0,0.0,52,45,9.8,21.0
2000-11-06,0.00,0.0,0.0,56,41,6.9,13.0
2000-11-07,0.00,0.0,0.0,56,40,4.5,10.1
2000-11-08,0.00,0.0,0.0,60,43,3.4,10.1
2000-11-09,0.32,0.0,0.0,60,50,4.5,16.1
2000-11-10,1.48,0.0,0.0,59,54,8.5,15.0
2000-11-11,0.03,0.0,0.0,56,49,7.4,14.1
2000-11-12,0.00,0.0,0.0,53,43,7.2,15.0
2000-11-13,0.00,0.0,0.0,53,42,4.5,12.1
2000-11-14,0.32,0.0,0.0,54,40,6.7,17.0
2000-11-15,0.00,0.0,0.0,48,36,9.4,17.0
2000-11-16,0.00,0.0,0.0,48,38,7.2,15.0
2000-11-17,0.00,0.0,0.0,54,40,9.4,17.0
2000-11-18,0.00,0.0,0.0,46,36,7.4,15.0
2000-11-19,0.00,0.0,0.0,41,34,5.6,13.0
2000-11-20,0.00,0.0,0.0,45,31,6.9,16.1
2000-11-21,0.00,0.0,0.0,40,30,9.4,16.1
2000-11-22,0.00,0.0,0.0,35,27,10.5,19.9
2000-11-23,0.00,0.0,0.0,36,25,8.5,17.9
2000-11-24,0.00,0.0,0.0,37,23,2.9,10.1
2000-11-25,0.00,0.0,0.0,41,31,6.9,14.1
2000-11-26,1.22,0.0,0.0,52,41,8.1,17.9
2000-11-27,0.00,0.0,0.0,51,46,6.9,17.0
2000-11-28,0.00,0.0,0.0,50,43,5.6,13.0
2000-11-29,0.13,0.0,0.0,50,38,5.6,12.1
2000-11-30,0.04,0.0,0.0,43,37,8.7,19.9
2000-12-01,0.00,0.0,0.0,40,31,8.7,15.0
2000-12-02,0.00,0.0,0.0,35,26,6.7,14.1
2000-12-03,0.00,0.0,0.0,35,22,5.4,13.0
2000-12-04,0.00,0.0,0.0,45,25,3.4,8.9
2000-12-05,0.00,0.0,0.0,46,31,9.4,21.0
2000-12-06,0.00,0.0,0.0,32,25,8.9,19.9
2000-12-07,0.00,0.0,0.0,35,28,7.6,17.0
2000-12-08,0.01,0.0,0.1,31,28,5.4,15.0
2000-12-09,0.00,0.0,0.0,35,28,5.4,14.1
2000-12-10,0.03,0.0,0.0,42,28,5.4,13.0
2000-12-11,0.00,0.0,0.0,44,36,2.9,14.1
2000-12-12,0.01,0.0,0.0,52,25,15.0,32.0
2000-12-13,0.00,0.0,0.0,32,20,5.8,17.0
2000-12-14,0.94,0.0,0.0,50,30,8.3,17.0
2000-12-15,0.00,0.0,0.0,39,32,6.7,15.0
2000-12-16,0.39,0.0,0.0,53,36,8.7,16.1
2000-12-17,0.81,0.0,0.0,62,32,11.4,23.9
2000-12-18,0.00,0.0,0.0,36,27,9.8,21.9
2000-12-19,0.00,0.0,0.0,41,28,5.8,16.1
2000-12-20,0.07,1.0,0.5,36,25,11.0,21.0
2000-12-21,0.00,0.0,0.0,33,22,5.6,13.0
2000-12-22,0.01,0.0,0.8,32,17,6.7,23.0
2000-12-23,0.00,1.0,0.0,30,14,8.3,19.9
2000-12-24,0.00,0.0,0.0,31,23,6.5,16.1
2000-12-25,0.00,0.0,0.0,27,15,13.9,25.1
2000-12-26,0.00,0.0,0.0,30,14,10.7,21.0
2000-12-27,0.00,0.0,0.0,32,21,8.1,17.0
2000-12-28,0.00,0.0,0.0,27,19,10.1,23.0
2000-12-29,0.00,0.0,0.0,30,17,5.6,15.0
2000-12-30,0.92,3.0,12.0,31,24,4.9,17.0
2000-12-31,0.00,10.0,0.0,30,25,17.2,NA
2001-01-01,0.00,9.0,0.0,32,23,13.0,21.0
2001-01-02,0.00,7.0,0.0,27,19,10.3,16.1
2001-01-03,0.00,6.0,0.0,31,18,6.3,14.1
2001-01-04,0.00,5.0,0.0,34,25,6.7,14.1
2001-01-05,0.19,NA,1.8,33,24,5.1,15.0
2001-01-06,0.00,8.0,0.0,40,30,5.8,17.0
2001-01-07,0.00,7.0,0.0,43,29,4.7,13.0
2001-01-08,0.32,7.0,0.0,40,34,6.3,15.0
2001-01-09,0.00,NA,0.0,34,26,9.4,17.0
2001-01-10,0.00,NA,0.0,33,22,8.7,21.0
2001-01-11,0.00,6.0,0.0,46,30,8.1,17.9
2001-01-12,0.00,NA,0.0,42,30,5.8,12.1
2001-01-13,0.00,5.0,0.0,40,30,3.8,13.0
2001-01-14,0.00,4.0,0.0,43,34,2.9,10.1
2001-01-15,0.28,2.0,0.0,41,34,5.1,14.1
2001-01-16,0.00,2.0,0.0,45,36,7.8,15.0
2001-01-17,0.00,0.0,0.0,42,36,6.5,13.0
2001-01-18,0.03,0.0,0.0,37,32,6.3,13.0
2001-01-19,0.83,0.0,0.0,39,35,2.9,13.0
2001-01-20,0.24,0.0,0.0,37,30,11.4,21.9
2001-01-21,0.46,6.0,6.0,33,22,9.8,21.9
2001-01-22,0.00,3.0,0.0,36,22,5.6,12.1
2001-01-23,0.00,5.0,0.0,37,26,3.1,10.1
2001-01-24,0.00,2.0,0.0,43,30,5.6,13.0
2001-01-25,0.00,2.0,0.0,39,25,6.9,15.0
2001-01-26,0.00,1.0,0.0,36,21,6.7,13.0
2001-01-27,0.04,1.0,0.5,41,29,8.9,21.0
2001-01-28,0.00,0.0,0.0,37,29,8.9,17.9
2001-01-29,0.00,0.0,0.0,38,26,5.8,14.1
2001-01-30,0.76,0.0,0.0,54,36,6.9,19.9
2001-01-31,0.01,0.0,0.0,49,40,7.6,21.9
2001-02-01,0.00,0.0,0.0,49,38,5.8,15.0
2001-02-02,0.02,NA,0.0,45,27,5.6,21.9
2001-02-03,0.00,NA,0.0,33,26,9.2,21.9
2001-02-04,0.00,NA,0.0,37,24,5.8,13.0
2001-02-05,0.70,NA,3.5,36,32,9.8,21.9
2001-02-06,0.00,NA,0.0,45,36,9.4,17.0
2001-02-07,0.00,0.0,0.0,44,34,8.5,16.1
2001-02-08,0.00,0.0,0.0,41,32,6.0,13.0
2001-02-09,0.00,0.0,0.0,58,36,5.4,13.0
2001-02-10,0.01,0.0,0.0,61,27,14.5,25.1
2001-02-11,0.00,0.0,0.0,32,20,10.7,21.9
2001-02-12,0.02,NA,0.2,35,16,6.9,14.1
2001-02-13,0.00,0.0,0.0,49,32,4.7,13.0
2001-02-14,0.00,0.0,0.0,47,37,6.0,14.1
2001-02-15,0.04,0.0,0.0,47,38,7.4,16.1
2001-02-16,0.32,0.0,0.0,40,34,6.0,10.1
2001-02-17,0.00,0.0,0.0,38,21,12.8,28.0
2001-02-18,0.00,0.0,0.0,32,18,8.3,16.1
2001-02-19,0.00,0.0,0.0,43,26,8.3,17.0
2001-02-20,0.00,0.0,0.0,55,39,7.4,16.1
2001-02-21,0.00,0.0,0.0,52,20,10.7,25.1
2001-02-22,0.31,0.0,5.5,25,17,7.4,15.0
2001-02-23,0.01,6.0,0.3,40,21,11.0,17.0
2001-02-24,0.00,2.0,0.0,35,25,5.4,19.9
2001-02-25,0.52,0.0,0.0,53,33,7.6,17.0
2001-02-26,0.00,0.0,0.0,53,35,10.3,21.0
2001-02-27,0.00,0.0,0.0,49,31,6.7,15.0
2001-02-28,0.00,0.0,0.0,36,26,7.8,17.0
2001-03-01,0.00,0.0,0.0,37,24,6.3,17.0
2001-03-02,0.04,0.0,0.0,42,31,4.9,14.1
2001-03-03,0.00,0.0,0.0,47,37,5.1,13.0
2001-03-04,0.05,0.0,0.0,37,29,12.1,23.0
2001-03-05,0.43,0.0,2.0,32,28,12.8,30.0
2001-03-06,0.14,3.0,1.5,35,25,9.4,17.0
2001-03-07,0.00,3.0,0.0,43,32,6.5,16.1
2001-03-08,0.00,2.0,0.0,40,32,6.3,15.0
2001-03-09,0.37,0.0,0.0,42,34,8.3,17.0
2001-03-10,0.00,0.0,0.0,45,34,10.1,19.9
2001-03-11,0.00,0.0,0.0,55,32,8.7,25.1
2001-03-12,0.01,0.0,0.0,48,30,7.8,15.0
2001-03-13,1.27,0.0,0.0,47,35,6.9,17.9
2001-03-14,0.00,0.0,0.0,48,42,11.2,23.9
2001-03-15,0.00,0.0,0.0,52,41,4.9,14.1
2001-03-16,0.17,0.0,0.0,57,41,5.8,16.1
2001-03-17,0.21,0.0,0.0,47,37,7.6,17.0
2001-03-18,0.00,0.0,0.0,47,34,9.4,21.0
2001-03-19,0.00,0.0,0.0,53,34,7.6,19.9
2001-03-20,0.00,0.0,0.0,55,38,6.9,13.0
2001-03-21,1.03,0.0,0.0,44,39,19.2,36.0
2001-03-22,1.28,0.0,0.0,45,39,10.7,25.9
2001-03-23,0.00,0.0,0.0,57,39,15.0,23.9
